Log_Interval,10000,  uSec,,,,,,,,
Start,2023-07-26, 00:01:44,,,,,,,,
rec no,Acc x, Acc y, Acc z, Gyr x, Gyr y, Gyr z,Bat Cur.,Bat Volt,,
169,-9.99,0.13,0.23,0.02,0,0.01,142,21,,
170,-9.98,0.14,0.18,0.01,0.01,0.01,122,9,,
171,-9.98,0.14,0.16,0.02,0.01,0.01,135,20,,
172,-9.97,0.13,0.19,0.02,0.01,0.01,126,9,,
173,-9.97,0.14,0.16,0.02,0.01,0.01,141,24,,
174,-9.98,0.15,0.16,0.02,0.01,0.01,129,7,,
175,-9.98,0.12,0.2,0.02,0.01,0.01,133,21,,
176,-10,0.13,0.17,0.02,0.01,0.01,129,7,,
177,-9.99,0.13,0.14,0.02,0,0.01,137,20,,
178,-9.99,0.13,0.17,0.02,0.01,0.01,125,9,,
179,-9.99,0.14,0.13,0.01,0.01,0.01,138,20,,
180,-9.98,0.15,0.16,0.02,0.01,0.01,123,7,,
181,-9.97,0.13,0.2,0.01,0.01,0.01,136,20,,
182,-9.96,0.14,0.14,0.01,0.01,0.01,131,8,,
183,-9.98,0.12,0.16,0.02,0.01,0.01,131,17,,
184,-9.99,0.14,0.09,0.02,0,0.01,131,7,,
185,-9.98,0.12,0.15,0.02,0.01,0.01,138,19,,
186,-9.98,0.15,0.16,0.02,0.01,0.01,126,6,,
187,-9.97,0.16,0.16,0.02,0.01,0.01,129,17,,
188,-10.01,0.14,0.14,0.02,0.01,0.01,132,7,,
189,-9.99,0.12,0.31,0.02,0.01,0.01,130,19,,
190,-9.99,0.15,0.17,0.02,0.01,0.01,135,7,,
191,-9.98,0.16,0.14,0.02,0.01,0.01,128,16,,
192,-9.97,0.14,0.16,0.02,0,0.01,128,7,,
193,-9.97,0.14,0.16,0.02,0.01,0.01,128,16,,
194,-9.99,0.14,0.15,0.02,0,0.01,130,9,,
195,-9.98,0.14,0.13,0.02,0.01,0.01,132,17,,
196,-9.97,0.12,0.13,0.02,0.01,0.01,130,10,,
197,-9.99,0.15,0.15,0.02,0.01,0.01,130,16,,
198,-9.99,0.15,0.22,0.01,0.01,0.01,129,10,,
199,-9.97,0.13,0.13,0.02,0.01,0.01,129,17,,
200,-9.99,0.12,0.14,0.01,0.01,0.01,132,11,,
201,-9.98,0.12,0.19,0.02,0,0.01,127,15,,
202,-9.98,0.14,0.17,0.02,0.01,0.01,138,10,,
203,-9.96,0.15,0.17,0.02,0.01,0.01,133,18,,
204,-9.99,0.29,0.13,0.02,0.01,0.01,134,10,,
205,-10,0.13,0.15,0.02,0.01,0.01,129,15,,
206,-9.98,0.13,0.15,0.02,0,0.01,136,10,,
207,-9.98,0.14,0.14,0.01,0.01,0.01,128,14,,
208,-9.98,0.12,0.15,0.02,0.01,0.01,132,11,,
209,-9.97,0.15,0.13,0.02,0,0.01,123,14,,
210,-9.98,0.13,0.24,0.02,0,0.01,132,11,,
211,-9.99,0.14,0.16,0.02,0.01,0.01,121,15,,
212,-10,0.13,0.18,0.02,0.01,0.01,133,13,,
213,-9.98,0.13,0.17,0.02,0.01,0,123,13,,
214,-9.99,0.15,0.16,0.02,0.01,0.01,141,15,,
215,-9.99,0.16,0.18,0.02,0.01,0.01,130,12,,
216,-9.99,0.13,0.22,0.02,0.01,0.01,142,14,,
217,-9.99,0.14,0.16,0.02,0.01,0.01,131,13,,
218,-10,0.13,0.15,0.02,0.01,0.01,134,14,,
219,-9.98,0.13,0.14,0.02,0.01,0.01,123,13,,
220,-9.97,0.14,0.13,0.02,0.01,0.01,143,17,,
221,-9.97,0.15,0.13,0.02,0.01,0.01,121,15,,
222,-9.98,0.14,0.11,0.02,0.01,0.01,140,17,,
223,-10,0.13,0.17,0.01,0.01,0.01,121,12,,
224,-9.98,0.14,0.16,0.01,0.01,0.01,143,18,,
225,-9.93,0.13,0.16,0.02,0.01,0.01,121,14,,
226,-9.99,0.12,0.17,0.02,0.01,0.01,137,17,,
227,-9.97,0.14,0.18,0.01,0.01,0.01,129,13,,
228,-9.97,0.13,0.16,0.01,0.01,0.01,143,16,,
229,-10,0.14,0.15,0.02,0.01,0.01,123,12,,
230,-9.98,0.14,0.22,0.02,0.01,0.01,138,20,,
231,-9.97,0.15,0.14,0.02,0.01,0.01,126,11,,
232,-9.97,0.14,0.16,0.02,0.01,0.01,144,20,,
233,-9.99,0.15,0.15,0.02,0.01,0.01,120,14,,
234,-9.97,0.13,0.18,0.02,0.01,0.01,141,22,,
235,-9.99,0.14,0.17,0.02,0.01,0.01,126,10,,
236,-9.95,0.14,0.09,0.01,0.01,0.01,145,21,,
237,-9.99,0.14,0.16,0.02,0.01,0.01,124,13,,
238,-9.96,0.14,0.15,0.02,0,0.01,146,21,,
239,-10,0.13,0.14,0.02,0.01,0.01,118,12,,
240,-10.01,0.13,0.15,0.02,0.01,0.01,147,21,,
241,-9.98,0.14,0.15,0.02,0.01,0.01,118,11,,
242,-9.97,0.12,0.14,0.01,0.01,0.01,140,23,,
243,-9.99,0.14,0.16,0.01,0.01,0.01,120,12,,
244,-9.96,0.15,0.14,0.02,0.01,0,145,23,,
245,-9.99,0.12,0.2,0.02,0,0.01,125,12,,
246,-9.98,0.14,0.14,0.02,0.01,0.01,145,23,,
247,-9.97,0.12,0.16,0.02,0,0.01,118,10,,
248,-9.98,0.14,0.15,0.01,0.01,0.01,145,22,,
249,-9.96,0.14,0.14,0.02,0.01,0.01,122,12,,
250,-10,0.13,0.12,0.02,0.01,0.01,147,24,,
251,-9.96,0.15,0.18,0.01,0.01,0.01,117,11,,
252,-9.98,0.13,0.17,0.01,0.01,0.01,140,22,,
253,-9.97,0.14,0.17,0.02,0.01,0.01,123,10,,
254,-9.98,0.14,0.14,0.02,0.01,0.01,139,25,,
255,-9.98,0.15,0.16,0.02,0.01,0.01,126,10,,
256,-10,0.15,0.14,0.01,0.01,0.01,147,24,,
257,-9.97,0.13,0.16,0.01,0.01,0.01,120,12,,
258,-10.01,0.15,0.18,0.02,0.01,0.01,140,25,,
259,-9.97,0.17,0.01,0.02,0.01,0.01,119,10,,
260,-9.96,0.12,0.14,0.02,0.01,0.01,146,25,,
261,-9.99,0.14,0.15,0.02,0.01,0.01,122,10,,
262,-9.99,0.15,0.13,0.02,0.01,0.01,143,26,,
263,-10,0.12,0.14,0.02,0.01,0.01,122,11,,
264,-9.98,0.15,0.15,0.02,0.01,0.01,147,24,,
265,-9.96,0.13,0.17,0.01,0.01,0.01,117,11,,
266,-9.94,0.14,0.13,0.01,0.01,0.01,144,23,,
267,-9.99,0.15,0.16,0.01,0.01,0.01,119,10,,
268,-9.96,0.14,0.12,0.02,0.01,0.01,142,23,,
269,-9.99,0.15,0.15,0.02,0.01,0.01,120,11,,
270,-9.96,0.14,0.16,0.01,0.01,0.01,139,25,,
271,-9.96,0.15,0.23,0.01,0.01,0.01,124,8,,
272,-9.98,0.15,0.16,0.02,0,0.01,144,24,,
273,-9.99,0.14,0.13,0.02,0.01,0.01,126,10,,
274,-9.96,0.12,0.16,0.02,0.01,0.01,146,24,,
275,-9.97,0.14,0.17,0.02,0.01,0.01,120,9,,
276,-10,0.14,0.18,0.02,0,0.01,137,23,,
277,-9.96,0.15,0.14,0.02,0,0.01,124,9,,
278,-9.98,0.13,0.16,0.01,0.01,0.01,138,23,,
279,-9.98,0.14,0.15,0.01,0.01,0.01,129,9,,
280,-9.97,0.13,0.17,0.02,0.01,0.01,142,22,,
281,-9.99,0.13,0.15,0.02,0.01,0.01,127,8,,
282,-9.96,0.14,0.16,0.02,0.01,0.01,145,25,,
283,-9.99,0.29,0.12,0.02,0.01,0.01,125,9,,
284,-9.99,0.12,0.13,0.01,0.01,0.01,141,24,,
285,-9.99,0.14,0.17,0.01,0.01,0.01,125,10,,
286,-9.96,0.16,0.14,0.02,0.01,0.01,136,23,,
287,-9.97,0.14,0.15,0.02,0.01,0.01,127,9,,
288,-9.97,0.14,0.18,0.02,0.01,0.01,136,22,,
289,-10.01,0.15,0.2,0.01,0.01,0.01,127,8,,
290,-9.99,0.14,0.15,0.02,0.01,0.01,141,23,,
291,-9.98,0.14,0.17,0.02,0.01,0.01,129,8,,
292,-10,0.12,0.14,0.01,0.01,0.01,144,23,,
293,-9.99,0.16,0.18,0.02,0.01,0.01,126,11,,
294,-9.98,0.13,0.17,0.01,0.01,0.01,141,21,,
295,-9.97,0.13,0.18,0.02,0.01,0.01,121,9,,
296,-9.98,0.13,0.17,0.02,0.01,0.01,137,22,,
297,-9.97,0.12,0.16,0.02,0.01,0,128,9,,
298,-9.98,0.12,0.19,0.02,0.01,0.01,134,20,,
299,-9.98,0.13,0.17,0.02,0.01,0.01,131,8,,
300,-9.96,0.15,0.3,0.02,0.01,0.01,141,20,,
301,-9.98,0.13,0.11,0.02,0.01,0.01,128,9,,
302,-9.98,0.14,0.15,0.02,0.01,0.01,140,19,,
303,-9.97,0.14,0.17,0.02,0.01,0.01,124,8,,
304,-10,0.14,0.18,0.02,0.01,0.01,132,22,,
305,-9.98,0.13,0.14,0.02,0.01,0.01,130,7,,
306,-9.97,0.15,0.19,0.02,0.01,0.01,135,20,,
307,-9.97,0.14,0.15,0.02,0.01,0.01,125,6,,
308,-9.97,0.12,0.19,0.02,0,0,134,19,,
309,-9.98,0.14,0.14,0.02,0.01,0.01,132,7,,
310,-9.97,0.13,0.17,0.02,0.01,0.01,135,17,,
311,-9.97,0.13,0.16,0.01,0.01,0.01,130,8,,
312,-9.99,0.14,0.18,0.02,0.01,0.01,133,18,,
313,-10,0.12,0.13,0.02,0.01,0.01,135,8,,
314,-9.97,0.11,0.14,0.02,0.01,0.01,137,17,,
315,-9.96,0.12,0.16,0.02,0.01,0.01,136,8,,
316,-9.99,0.12,0.19,0.02,0.01,0.01,128,15,,
317,-9.99,0.13,0.17,0.02,0.01,0.01,131,9,,
318,-9.96,0.14,0.17,0.02,0.01,0.01,133,16,,
319,-9.99,0.13,0.17,0.02,0.01,0.01,134,8,,
320,-9.98,0.14,0.17,0.02,0.01,0.01,126,18,,
321,-9.97,0.14,0.17,0.02,0.01,0.01,135,9,,
322,-9.96,0.13,0.15,0.02,0.01,0.01,127,17,,
323,-9.99,0.13,0.15,0.01,0.01,0.01,135,11,,
324,-9.98,0.12,0.1,0.01,0.01,0.01,127,16,,
325,-10,0.14,0.15,0.02,0.01,0.01,137,8,,
326,-10,0.13,0.01,0.02,0.01,0.01,125,16,,
327,-9.96,0.13,0.16,0.01,0.01,0.01,134,10,,
328,-9.98,0.15,0.17,0.02,0.01,0.01,134,16,,
329,-9.99,0.14,0.18,0.02,0.01,0.01,129,9,,
330,-9.98,0.14,0.15,0.01,0.01,0.01,129,15,,
331,-9.98,0.14,0.18,0.02,0,0.01,131,10,,
332,-9.96,0.15,0.3,0.02,0.01,0.01,134,14,,
333,-9.97,0.12,0.17,0.02,0.01,0.01,138,10,,
334,-10,0.14,0.16,0.02,0.01,0.01,131,15,,
335,-9.94,0.14,0.16,0.02,0.01,0.01,132,11,,
336,-9.97,0.12,0.17,0.02,0.01,0.01,127,15,,
337,-9.96,0.15,0.14,0.02,0.01,0.01,135,12,,
338,-9.98,0.12,0.13,0.02,0.01,0.01,123,15,,
339,-9.98,0.12,0.15,0.02,0.01,0.01,134,14,,
340,-10,0.13,0.15,0.01,0.01,0.01,123,13,,
341,-9.99,0.15,0.18,0.02,0.01,0.01,135,14,,
342,-9.98,0.13,0.12,0.02,0.01,0.01,124,15,,
343,-9.98,0.13,0.2,0.02,0.01,0,140,14,,
344,-9.97,0.12,0.17,0.02,0.01,0.01,124,15,,
345,-9.97,0.14,0.17,0.01,0,0.01,142,14,,
346,-9.97,0.13,0.18,0.02,0.01,0.01,128,13,,
347,-9.99,0.14,0.18,0.02,0,0.01,137,17,,
348,-10,0.14,0.17,0.02,0.01,0.01,130,12,,
349,-9.98,0.14,0.14,0.02,0.01,0.01,136,17,,
350,-9.99,0.13,0.2,0.01,0,0.01,121,14,,
351,-9.99,0.13,0.17,0.02,0.01,0.01,142,17,,
352,-9.98,0.14,0.16,0.02,0.01,0.01,120,14,,
353,-9.99,0.11,0.16,0.02,0,0.01,143,17,,
354,-10,0.13,0.17,0.02,0.01,0.01,122,11,,
355,-9.96,0.13,0.14,0.01,0.01,0.01,141,20,,
356,-9.97,0.15,0.12,0.02,0.01,0.01,119,13,,
357,-9.99,0.15,0.14,0.01,0.01,0.01,138,19,,
358,-9.99,0.13,0.15,0.02,0.01,0.01,119,14,,
359,-10,0.12,0.17,0.01,0.01,0.01,144,20,,
360,-9.97,0.15,0.15,0.02,0,0.01,126,10,,
361,-9.97,0.16,0.15,0.02,0.01,0.01,144,21,,
362,-9.98,0.15,0.13,0.02,0.01,0,125,12,,
363,-9.98,0.14,0.15,0.02,0.01,0.01,143,22,,
364,-9.99,0.15,0.03,0.02,0.01,0.01,119,13,,
365,-9.97,0.16,0.17,0.02,0.01,0.01,141,24,,
366,-10.01,0.15,0.13,0.01,0.01,0.01,119,12,,
367,-9.99,0.15,0.3,0.02,0.01,0.01,147,21,,
368,-9.99,0.14,0.2,0.01,0.01,0.01,126,11,,
369,-10,0.12,0.14,0.02,0.01,0.01,145,22,,
370,-9.99,0.13,0.14,0.02,0.01,0.01,124,10,,
371,-9.96,0.12,0.16,0.01,0.01,0.01,140,21,,
372,-9.96,0.13,0.13,0.01,0.01,0.01,126,11,,
373,-9.97,0.13,0.19,0.02,0.01,0.01,139,23,,
374,-9.99,0.14,0.15,0.01,0.01,0.01,122,12,,
375,-9.98,0.14,0.15,0.02,0.01,0.01,139,22,,
376,-9.98,0.14,0.13,0.02,0.01,0,120,12,,
377,-9.98,0.15,0.17,0.02,0.01,0,143,23,,
378,-9.97,0.15,0.15,0.02,0.01,0.01,123,11,,
379,-9.97,0.13,0.16,0.02,0.01,0.01,138,24,,
380,-9.99,0.14,0.17,0.02,0.01,0.01,119,14,,
381,-9.99,0.13,0.16,0.02,0.01,0.01,138,24,,
382,-9.97,0.15,0.13,0.02,0.01,0.01,123,10,,
383,-9.98,0.13,0.16,0.02,0.01,0.01,142,23,,
384,-9.99,0.14,0.18,0.02,0.01,0.01,128,11,,
385,-9.96,0.12,0.12,0.01,0.01,0.01,139,25,,
386,-9.97,0.12,0.15,0.02,0.01,0.01,126,11,,
387,-9.97,0.15,0.19,0.02,0,0.01,143,24,,
388,-9.96,0.14,0.09,0.02,0.01,0.01,125,11,,
389,-9.98,0.12,0.16,0.02,0,0.01,146,25,,
