Log_Interval,10000,  uSec,,,,,,,,
Start,2023-07-26, 00:01:44,,,,,,,,
rec no,Acc x, Acc y, Acc z, Gyr x, Gyr y, Gyr z,Bat Cur.,Bat Volt,,
28245,-10,0.13,0.15,0.02,0.01,0.01,135,18,,
28246,-9.99,0.13,0.2,0.02,0.01,0.01,127,12,,
28247,-9.96,0.13,0.15,0.02,0.01,0.01,138,17,,
28248,-10.01,0.14,0.15,0.02,0.01,0.01,126,13,,
28249,-9.99,0.14,0.17,0.02,0.01,0.01,141,17,,
28250,-9.98,0.14,0.15,0.02,0.01,0.01,127,14,,
28251,-9.97,0.14,0.14,0.01,0,0.01,140,18,,
28252,-9.99,0.13,0.17,0.02,0,0.01,126,12,,
28253,-9.97,0.15,0.15,0.02,0.01,0.01,144,21,,
28254,-9.97,0.14,0.16,0.01,0,0.01,120,13,,
28255,-9.99,0.12,0.21,0.02,0,0.01,141,20,,
28256,-9.98,0.13,0.15,0.02,0.01,0.01,121,14,,
28257,-9.98,0.12,0.15,0.02,0.01,0.01,138,18,,
28258,-9.96,0.13,0.16,0.02,0,0.01,127,12,,
28259,-9.98,0.15,0.16,0.02,0.01,0.01,139,22,,
28260,-9.97,0.14,0.14,0.02,0,0.01,119,12,,
28261,-9.99,0.13,0.15,0.01,0.01,0.01,138,20,,
28262,-9.98,0.13,0.15,0.02,0.01,0.01,120,11,,
28263,-9.97,0.16,0.11,0.02,0.01,0.01,146,21,,
28264,-9.99,0.15,0.18,0.02,0.01,0.01,124,11,,
28265,-9.96,0.16,0.13,0.02,0.01,0.01,143,21,,
28266,-9.99,0.28,0.18,0.02,0,0.01,121,12,,
28267,-9.98,0.13,0.17,0.01,0.01,0.01,144,23,,
28268,-9.98,0.15,0.16,0.02,0,0.01,119,11,,
28269,-10,0.14,0.18,0.02,0.01,0.01,141,21,,
28270,-9.99,0.14,0.17,0.02,0.01,0.01,125,10,,
28271,-9.97,0.14,0.17,0.02,0.01,0.01,140,25,,
28272,-10,0.14,0.17,0.02,0.01,0.01,116,11,,
28273,-9.98,0.14,0.14,0.02,0.01,0.01,142,21,,
28274,-9.99,0.14,0.17,0.02,0.01,0.01,117,10,,
28275,-9.97,0.12,0.15,0.02,0.01,0.01,138,23,,
28276,-9.99,0.13,0.15,0.01,0,0.01,126,11,,
28277,-10,0.15,0.15,0.02,0.01,0.01,138,22,,
28278,-10.1,0.13,0.2,0.02,0.01,0.01,120,9,,
28279,-9.97,0.14,0.16,0.01,0.01,0.01,145,23,,
28280,-9.97,0.12,0.13,0.02,0,0.01,126,11,,
28281,-9.98,0.14,0.16,0.02,0,0.01,147,23,,
28282,-10,0.14,0.16,0.02,0.01,0.01,120,9,,
28283,-9.98,0.16,0.31,0.02,0.01,0.01,138,23,,
28284,-10,0.13,0.14,0.02,0,0.01,124,9,,
28285,-9.99,0.14,0.17,0.02,0,0.01,144,23,,
28286,-9.97,0.14,0.13,0.01,0,0.01,123,11,,
28287,-10.01,0.13,0.16,0.02,0,0.01,142,24,,
28288,-9.99,0.14,0.15,0.02,0.01,0.01,124,11,,
28289,-9.99,0.13,0.19,0.02,0.01,0.01,145,23,,
28290,-9.99,0.14,0.15,0.02,0.01,0.01,120,11,,
28291,-9.98,0.14,0.16,0.02,0.01,0.01,144,24,,
28292,-10,0.15,0.13,0.02,0,0.01,125,12,,
28293,-9.98,0.13,0.15,0.02,0,0.01,138,22,,
28294,-9.96,0.16,0.17,0.02,0.01,0.01,122,9,,
28295,-10,0.15,0.1,0.02,0.01,0.01,146,24,,
28296,-9.98,0.14,0.14,0.02,0.01,0.01,120,8,,
28297,-10,0.16,0.14,0.02,0.01,0,146,25,,
28298,-9.98,0.14,0.17,0.02,0,0.01,117,9,,
28299,-9.99,0.12,0.14,0.02,0.01,0.01,140,24,,
28300,-9.99,0.13,0.16,0.02,0.01,0.01,119,10,,
28301,-9.98,0.14,0.14,0.01,0.01,0.01,147,24,,
28302,-9.98,0.14,0.15,0.01,0.01,0.01,116,8,,
28303,-9.99,0.12,0.17,0.02,0.01,0.01,144,23,,
28304,-9.98,0.14,0.1,0.02,0.01,0.01,121,8,,
28305,-9.98,0.13,0.15,0.02,0,0.01,137,27,,
28306,-9.98,0.14,0.29,0.02,0.01,0.01,123,8,,
28307,-10.01,0.13,0.17,0.02,0.01,0.01,138,25,,
28308,-9.99,0.13,0.14,0.02,0.01,0.01,127,9,,
28309,-9.99,0.14,0.16,0.02,0.01,0.01,143,26,,
28310,-9.96,0.13,0.19,0.01,0.01,0.01,117,9,,
28311,-10,0.14,0.15,0.02,0.01,0.01,137,22,,
28312,-9.97,0.14,0.17,0.02,0.01,0.01,128,10,,
28313,-9.99,0.14,0.13,0.02,0.01,0.01,145,23,,
28314,-9.96,0.13,0.14,0.01,0.01,0.01,125,8,,
28315,-9.99,0.15,0.12,0.02,0.01,0.01,141,24,,
28316,-9.97,0.14,0.16,0.02,0,0.01,119,9,,
28317,-10,0.13,0.14,0.01,0.01,0.01,144,24,,
28318,-9.99,0.15,0.08,0.01,0.01,0.01,120,8,,
28319,-9.99,0.14,0.16,0.01,0.01,0.01,136,23,,
28320,-9.99,0.15,0.17,0.02,0.01,0.01,125,10,,
28321,-9.98,0.14,0.21,0.02,0.01,0.01,137,24,,
28322,-9.98,0.13,0.18,0.02,0,0.01,122,7,,
28323,-9.97,0.13,0.15,0.02,0.01,0.01,142,24,,
28324,-9.97,0.11,0.17,0.02,0.01,0.01,123,8,,
28325,-9.98,0.15,0.16,0.02,0.01,0.01,135,23,,
28326,-9.96,0.12,0.17,0.02,0.01,0.01,125,9,,
28327,-9.99,0.11,0.15,0.02,0.01,0.01,143,21,,
28328,-9.98,0.16,0.14,0.02,0.01,0.01,119,8,,
28329,-9.98,0.15,0.16,0.01,0.01,0.01,140,23,,
28330,-9.99,0.15,0.16,0.02,0.01,0.01,120,9,,
28331,-9.98,0.16,0.12,0.02,0.01,0.01,135,23,,
28332,-9.99,0.15,0.16,0.01,0.01,0.01,126,8,,
28333,-9.97,0.15,0.18,0.02,0.01,0.01,138,21,,
28334,-9.98,0.14,0.13,0.02,0.01,0.01,120,8,,
28335,-9.99,0.14,0.16,0.02,0.01,0.01,133,22,,
28336,-9.95,0.14,0.16,0.02,0,0.01,121,9,,
28337,-9.95,0.13,0.15,0.02,0.01,0.01,140,22,,
28338,-10.01,0.14,0.14,0.02,0.01,0.01,127,7,,
28339,-9.99,0.15,0.15,0.02,0.01,0.01,135,20,,
28340,-9.97,0.13,0.15,0.02,0.01,0.01,126,9,,
28341,-9.98,0.13,0.13,0.02,0.01,0.01,134,20,,
28342,-9.98,0.15,0.13,0.02,0.01,0.01,122,7,,
28343,-9.99,0.13,0.15,0.02,0.01,0.01,139,18,,
28344,-9.98,0.13,0.09,0.02,0.01,0.01,127,9,,
28345,-9.98,0.15,0.15,0.02,0,0.01,139,21,,
28346,-9.98,0.14,0.18,0.01,0.01,0.01,131,6,,
28347,-9.97,0.14,0.16,0.02,0.01,0.01,133,18,,
28348,-9.99,0.13,0.16,0.02,0.01,0.01,124,8,,
28349,-9.97,0.14,0.15,0.02,0.01,0.01,139,20,,
28350,-10,0.13,0.2,0.01,0,0.01,123,9,,
28351,-9.99,0.14,0.17,0.01,0.01,0.01,135,18,,
28352,-9.95,0.13,0.15,0.01,0.01,0.01,130,7,,
28353,-10,0.16,0.18,0.02,0.01,0.01,137,18,,
28354,-10,0.13,0.15,0.02,0.01,0.01,132,7,,
28355,-9.96,0.13,0.15,0.02,0.01,0.01,128,18,,
28356,-10,0.14,0.13,0.01,0.01,0.01,124,7,,
28357,-9.99,0.15,0.14,0.02,0.01,0.01,129,19,,
28358,-9.98,0.12,0,0.02,0.01,0.01,127,6,,
28359,-9.96,0.15,0.15,0.02,0.01,0.01,128,16,,
28360,-9.97,0.15,0.15,0.02,0.01,0.01,127,6,,
28361,-9.97,0.14,0.19,0.02,0.01,0.01,129,18,,
28362,-10,0.14,0.18,0.02,0.01,0.01,126,7,,
28363,-9.99,0.14,0.15,0.02,0,0.01,132,18,,
28364,-9.99,0.13,0.16,0.02,0.01,0.01,132,7,,
28365,-9.98,0.15,0.14,0.02,0.01,0.01,127,15,,
28366,-9.99,0.14,0.16,0.02,0.01,0.01,130,9,,
28367,-9.96,0.15,0.17,0.02,0.01,0.01,132,17,,
28368,-9.99,0.12,0.17,0.01,0.01,0.01,125,8,,
28369,-9.99,0.14,0.14,0.01,0.01,0.01,126,17,,
28370,-9.99,0.14,0.13,0.02,0,0.01,130,8,,
28371,-9.98,0.13,0.15,0.02,0.01,0.01,127,15,,
28372,-9.99,0.14,0.16,0.02,0.01,0.01,132,9,,
28373,-9.98,0.13,0.17,0.02,0.01,0.01,128,16,,
28374,-9.99,0.12,0.16,0.02,0.01,0.01,135,10,,
28375,-9.97,0.13,0.16,0.02,0.01,0.01,127,16,,
28376,-9.98,0.11,0.18,0.02,0.01,0.01,134,8,,
28377,-9.98,0.13,0.15,0.02,0,0.01,124,15,,
28378,-10.01,0.14,0.16,0.02,0.01,0.01,131,9,,
28379,-9.99,0.13,0.19,0.02,0.01,0.01,124,13,,
28380,-9.99,0.15,0.15,0.02,0.01,0.01,131,10,,
28381,-9.97,0.14,0.16,0.02,0.01,0.01,127,14,,
28382,-9.98,0.14,0.2,0.02,0.01,0.01,133,12,,
28383,-9.98,0.14,0.14,0.02,0.01,0.01,123,14,,
28384,-9.96,0.14,0.19,0.02,0,0.01,137,12,,
28385,-9.98,0.14,0.14,0.02,0.01,0.01,124,14,,
28386,-10,0.13,0.15,0.02,0,0.01,134,10,,
28387,-9.98,0.13,0.13,0.02,0.01,0.01,130,17,,
28388,-9.97,0.13,0.13,0.02,0.01,0.01,139,12,,
28389,-9.99,0.14,0.15,0.02,0.01,0.01,130,13,,
28390,-10.01,0.3,0.15,0.02,0.01,0.01,138,12,,
28391,-9.98,0.15,0.15,0.02,0.01,0.01,123,16,,
28392,-9.96,0.12,0.15,0.01,0.01,0.01,140,12,,
28393,-9.99,0.14,0.11,0.02,0,0.01,123,14,,
28394,-9.98,0.15,0.18,0.02,0.01,0.01,136,15,,
28395,-9.99,0.15,0.18,0.02,0.01,0.01,123,13,,
28396,-9.82,0.14,0.15,0.02,0.01,0.01,134,13,,
28397,-9.97,0.15,0.17,0.01,0,0.01,122,13,,
28398,-9.98,0.14,0.14,0.02,0.01,0.01,133,14,,
28399,-9.94,0.14,0.14,0.02,0.01,0.01,122,14,,
28400,-10,0.13,0.14,0.02,0.01,0.01,136,17,,
28401,-9.96,0.15,0.29,0.02,0.01,0,122,13,,
28402,-9.98,0.13,0.14,0.02,0.01,0.01,141,16,,
28403,-9.98,0.12,0.14,0.02,0.01,0.01,130,12,,
28404,-10,0.13,0.16,0.02,0.01,0.01,136,15,,
28405,-10,0.14,0.15,0.02,0.01,0.01,125,12,,
28406,-10,0.14,0.17,0.02,0.01,0.01,136,16,,
28407,-9.98,0.12,0.1,0.01,0.01,0.01,128,13,,
28408,-9.99,0.14,0.13,0.01,0.01,0.01,140,17,,
28409,-9.98,0.14,0.15,0.02,0.01,0.01,129,14,,
28410,-9.99,0.13,0.13,0.02,0.01,0.01,141,17,,
28411,-9.99,0.12,0.13,0.02,0.01,0.01,126,12,,
28412,-9.97,0.12,0.17,0.02,0.01,0.01,144,17,,
28413,-9.98,0.14,0.21,0.02,0.01,0.01,120,12,,
28414,-9.96,0.13,0.17,0.02,0.01,0.01,136,17,,
28415,-9.96,0.13,0.15,0.02,0.01,0.01,126,12,,
28416,-9.99,0.13,0.14,0.02,0.01,0.01,143,19,,
28417,-9.98,0.15,0.16,0.02,0.01,0.01,119,13,,
28418,-9.96,0.13,0.03,0.02,0.01,0.01,140,20,,
28419,-10,0.12,0.19,0.02,0.01,0.01,124,11,,
28420,-9.96,0.14,0.14,0.02,0,0.01,141,20,,
28421,-10,0.14,0,0.02,0,0.01,120,11,,
28422,-10.01,0.15,0.14,0.02,0,0.01,141,18,,
28423,-9.99,0.12,0.17,0.02,0,0.01,118,12,,
28424,-9.99,0.14,0.14,0.02,0.01,0.01,139,20,,
28425,-9.99,0.13,0.17,0.02,0.01,0.01,121,11,,
28426,-9.97,0.14,0.13,0.02,0.01,0,146,21,,
28427,-9.99,0.12,0.14,0.02,0.01,0.01,118,13,,
28428,-9.99,0.13,0.16,0.02,0.01,0.01,143,22,,
28429,-9.99,0.14,0.14,0.02,0,0.01,126,12,,
28430,-9.97,0.15,0.21,0.02,0.01,0.01,143,20,,
28431,-9.99,0.15,0.17,0.02,0.01,0.01,122,12,,
28432,-9.98,0.15,0.13,0.02,0,0.01,138,22,,
28433,-9.99,0.13,0.12,0.02,0,0.01,119,11,,
28434,-9.99,0.14,0.15,0.01,0.01,0.01,140,20,,
28435,-9.98,0.16,0.3,0.02,0.01,0.01,125,11,,
28436,-9.97,0.14,0.23,0.02,0.01,0.01,143,23,,
28437,-9.98,0.15,0.15,0.02,0.01,0.01,124,11,,
28438,-10.01,0.14,0.01,0.02,0.01,0.01,145,21,,
28439,-9.98,0.14,0.17,0.02,0.01,0.01,124,10,,
28440,-9.98,0.13,0.14,0.02,0,0.01,142,23,,
28441,-9.99,0.15,0.18,0.01,0.01,0.01,125,12,,
28442,-9.97,0.14,0.14,0.02,0.01,0.01,142,21,,
28443,-10.01,0.13,0.16,0.02,0.01,0.01,119,10,,
28444,-9.99,0.16,0.13,0.01,0.01,0.01,140,21,,
28445,-9.99,0.13,0.17,0.02,0.01,0.01,118,9,,
28446,-10,0.14,0.15,0.02,0,0.01,145,24,,
28447,-9.99,0.13,0.12,0.02,0.01,0.01,120,11,,
28448,-9.98,0.13,0.13,0.02,0.01,0.01,147,22,,
28449,-9.98,0.14,0.14,0.02,0.01,0.01,125,13,,
28450,-9.99,0.14,0.19,0.02,0.01,0.01,146,22,,
28451,-9.96,0.14,0.16,0.02,0.01,0.01,120,10,,
28452,-9.98,0.15,0.16,0.02,0,0.01,145,22,,
28453,-9.98,0.13,0.1,0.02,0.01,0.01,124,9,,
28454,-10,0.13,0.15,0.02,0,0.01,144,23,,
28455,-9.99,0.14,0.02,0.02,0.01,0.01,119,10,,
28456,-10,0.13,0.16,0.02,0.01,0,147,25,,
28457,-9.97,0.12,0.17,0.02,0.01,0.01,117,10,,
28458,-9.99,0.12,0.02,0.02,0.01,0.01,144,24,,
28459,-9.99,0.15,0.16,0.02,0.01,0.01,126,9,,
28460,-9.98,0.13,0.16,0.01,0.01,0.01,145,23,,
28461,-9.97,0.14,0.07,0.02,0,0.01,124,10,,
28462,-10,0.14,0.18,0.02,0.01,0.01,144,25,,
28463,-9.99,0.13,0.14,0.02,0.01,0.01,122,9,,
28464,-9.96,0.14,0.09,0.02,0.01,0.01,140,23,,
28465,-9.97,0.13,0.18,0.02,0.01,0.01,123,10,,
28466,-9.98,0.13,0.16,0.02,0,0.01,144,24,,
28467,-9.96,0.14,0.21,0.02,0,0.01,115,12,,
28468,-10,0.15,0.13,0.02,0.01,0.01,137,26,,
28469,-9.98,0.13,0.15,0.02,0,0.01,118,11,,
28470,-9.98,0.13,0.12,0.02,0.01,0.01,138,25,,
28471,-9.98,0.12,0.17,0.02,0.01,0.01,117,10,,
28472,-9.99,0.12,0.16,0.02,0.01,0.01,145,24,,
28473,-9.98,0.14,0.11,0.02,0.01,0.01,117,9,,
28474,-9.99,0.15,0.17,0.02,0.01,0.01,139,25,,
28475,-9.98,0.13,0.01,0.02,0.01,0.01,117,8,,
28476,-9.97,0.14,0.14,0.02,0.01,0.01,139,26,,
28477,-9.97,0.12,0.16,0.02,0.01,0.01,118,11,,
28478,-9.96,0.12,0.02,0.02,0.01,0.01,145,25,,
28479,-9.96,0.14,0.18,0.01,0.01,0.01,126,8,,
28480,-9.98,0.15,0.16,0.02,0.01,0.01,139,23,,
28481,-9.99,0.15,0.2,0.02,0.01,0.01,121,9,,
28482,-9.96,0.11,0.15,0.02,0.01,0.01,145,22,,
28483,-9.98,0.15,0.15,0.02,0.01,0.01,123,9,,
28484,-9.98,0.3,0.16,0.02,0.01,0.01,143,27,,
28485,-9.99,0.15,0.18,0.02,0.01,0.01,125,9,,
28486,-9.97,0.13,0.15,0.02,0.01,0.01,139,23,,
28487,-9.98,0.15,0.13,0.02,0.01,0.01,124,8,,
28488,-9.99,0.15,0.15,0.02,0.01,0.01,138,24,,
28489,-10,0.13,0.16,0.02,0.01,0.01,128,7,,
28490,-9.99,0.12,0.16,0.02,0,0.01,144,23,,
28491,-10,0.13,0.15,0.02,0.01,0.01,128,8,,
28492,-10,0.14,0.3,0.02,0.01,0.01,136,23,,
28493,-9.98,0.14,0.21,0.02,0.01,0.01,126,9,,
28494,-9.99,0.14,0.16,0.02,0,0.01,136,24,,
28495,-9.97,0.13,0.3,0.02,0.01,0.01,123,9,,
28496,-10,0.14,0.14,0.02,0.01,0.01,135,24,,
28497,-9.96,0.16,0.18,0.01,0.01,0.01,121,8,,
28498,-9.96,0.13,0.16,0.02,0.01,0.01,140,22,,
28499,-9.98,0.15,0.18,0.02,0.01,0.01,119,7,,
28500,-9.97,0.15,0.14,0.02,0.01,0.01,138,24,,
28501,-10,0.12,0.19,0.02,0.01,0.01,127,10,,
28502,-9.97,0.11,0.15,0.02,0.01,0.01,140,23,,
28503,-9.99,0.13,0.17,0.02,0,0.01,129,9,,
28504,-9.98,0.12,0.19,0.02,0.01,0.01,134,23,,
28505,-9.98,0.13,0.15,0.02,0.01,0.01,129,7,,
28506,-9.99,0.14,0.17,0.02,0.01,0.01,138,20,,
28507,-9.96,0.11,0.11,0.02,0,0.01,128,9,,
28508,-9.96,0.14,0.16,0.02,0.01,0.01,142,22,,
28509,-9.99,0.14,0.16,0.02,0,0.01,127,7,,
28510,-9.99,0.15,0.16,0.02,0.01,0.01,140,20,,
28511,-9.99,0.14,0.17,0.02,0.01,0.01,120,7,,
28512,-10,0.13,0.17,0.02,0.01,0,134,21,,
28513,-10.01,0.15,0.17,0.01,0.01,0.01,129,8,,
28514,-9.98,0.15,0.16,0.02,0,0.01,134,20,,
28515,-9.99,0.13,0.15,0.02,0.01,0.01,121,9,,
28516,-9.96,0.14,0.12,0.02,0,0.01,139,19,,
28517,-9.99,0.13,0.16,0.02,0,0.01,121,9,,
28518,-9.97,0.12,0.19,0.02,0,0.01,135,20,,
28519,-9.99,0.13,0.17,0.01,0.01,0.01,128,9,,
28520,-10.01,0.14,0.14,0.02,0.01,0.01,132,20,,
28521,-9.98,0.15,0.15,0.02,0.01,0.01,131,7,,
28522,-9.95,0.13,0.15,0.02,0.01,0.01,130,18,,
28523,-10,0.15,0.15,0.01,0.01,0.01,130,7,,
28524,-9.96,0.13,0.13,0.02,0.01,0.01,136,20,,
28525,-9.98,0.13,0.14,0.02,0.01,0.01,123,7,,
28526,-9.96,0.14,0.16,0.02,0.01,0.01,131,19,,
28527,-9.99,0.15,0.22,0.02,0,0.01,128,7,,
28528,-10,0.13,0.16,0.02,0.01,0.01,129,18,,
28529,-10,0.13,0.13,0.02,0.01,0.01,127,6,,
28530,-9.98,0.13,0.11,0.02,0,0,133,17,,
28531,-9.99,0.13,0.15,0.01,0.01,0.01,133,9,,
28532,-9.98,0.15,0.27,0.02,0.01,0.01,130,16,,
28533,-10,0.14,0.15,0.01,0.01,0.01,129,8,,
28534,-9.98,0.13,0.14,0.02,0.01,0.01,131,16,,
28535,-9.98,0.15,0.01,0.02,0.01,0.01,129,8,,
28536,-9.97,0.15,0.09,0.02,0.01,0.01,133,18,,
28537,-9.99,0.13,0.14,0.02,0.01,0.01,128,8,,
28538,-9.98,0.14,0.12,0.02,0,0.01,132,16,,
28539,-9.97,0.15,0.13,0.01,0.01,0.01,128,7,,
28540,-9.99,0.14,0.16,0.02,0.01,0.01,128,15,,
28541,-9.99,0.14,0.09,0.02,0,0.01,129,7,,
28542,-9.98,0.14,0.13,0.01,0.01,0,128,15,,
28543,-9.99,0.13,0.16,0.02,0.01,0.01,128,9,,
28544,-10,0.13,0.1,0.02,0.01,0.01,127,17,,
28545,-9.99,0.12,0.14,0.02,0,0.01,128,8,,
28546,-9.99,0.15,0.15,0.01,0.01,0,129,14,,
28547,-9.99,0.13,0.14,0.02,0.01,0.01,133,9,,
28548,-9.97,0.13,0.13,0.02,0,0.01,127,16,,
28549,-10,0.15,0.16,0.02,0.01,0.01,137,9,,
28550,-10.01,0.11,0.18,0.02,0.01,0.01,133,15,,
28551,-9.99,0.15,0.13,0.02,0.01,0.01,130,9,,
28552,-9.99,0.14,0.16,0.02,0.01,0.01,125,17,,
28553,-10,0.14,0.19,0.02,0.01,0.01,129,11,,
28554,-9.99,0.15,0.14,0.01,0,0.01,128,14,,
28555,-9.99,0.16,0.16,0.02,0.01,0.01,132,9,,
28556,-9.98,0.14,0.13,0.02,0,0.01,124,14,,
28557,-9.98,0.13,0.17,0.02,0.01,0.01,136,11,,
28558,-9.98,0.13,0.01,0.02,0.01,0.01,124,14,,
28559,-9.99,0.14,0.15,0.01,0.01,0.01,130,12,,
28560,-9.99,0.14,0.16,0.02,0,0.01,129,15,,
28561,-9.97,0.14,0.12,0.02,0.01,0.01,136,13,,
28562,-9.96,0.14,0.13,0.01,0,0.01,128,15,,
28563,-9.96,0.11,0.16,0.01,0.01,0.01,134,11,,
28564,-10,0.13,0.12,0.02,0.01,0.01,131,13,,
28565,-9.99,0.15,0.16,0.02,0.01,0.01,130,14,,
28566,-9.99,0.13,0.16,0.02,0.01,0.01,129,13,,
28567,-9.96,0.14,0.19,0.02,0.01,0.01,134,15,,
28568,-9.98,0.13,0.14,0.02,0,0.01,128,15,,
28569,-9.97,0.14,0.14,0.01,0.01,0.01,137,13,,
28570,-9.98,0.13,0.14,0.02,0.01,0.01,120,13,,
28571,-9.97,0.14,0.16,0.02,0.01,0.01,134,16,,
28572,-9.96,0.15,0.16,0.01,0,0.01,129,14,,
28573,-9.96,0.15,0.05,0.02,0.01,0.01,141,13,,
28574,-10,0.14,0.14,0.02,0.01,0.01,123,13,,
28575,-9.98,0.14,0.18,0.02,0.01,0.01,136,15,,
28576,-9.99,0.13,0.11,0.02,0,0.01,130,14,,
28577,-9.98,0.15,0.16,0.01,0.01,0.01,140,16,,
28578,-9.95,0.13,0.01,0.02,0.01,0.01,124,12,,
28579,-9.97,0.12,0.14,0.02,0,0.01,138,17,,
28580,-9.98,0.14,0.16,0.01,0.01,0.01,127,12,,
28581,-9.99,0.13,0.17,0.02,0.01,0.01,133,16,,
28582,-9.97,0.15,0.21,0.02,0,0.01,121,13,,
28583,-9.97,0.14,0.15,0.02,0.01,0.01,142,16,,
28584,-9.99,0.14,0.17,0.02,0,0.01,120,12,,
28585,-9.97,0.13,0.16,0.02,0.01,0.01,138,18,,
28586,-9.98,0.14,0.15,0.02,0,0.01,120,15,,
28587,-9.97,0.13,0.09,0.02,0.01,0.01,145,18,,
28588,-9.98,0.14,0.14,0.02,0.01,0.01,121,14,,
28589,-9.98,0.15,0.17,0.02,0.01,0.01,135,19,,
28590,-10,0.29,0.22,0.02,0,0.01,121,12,,
28591,-9.98,0.12,0.16,0.02,0.01,0.01,135,21,,
28592,-9.99,0.12,0.14,0.02,0.01,0.01,125,13,,
28593,-9.97,0.14,0.19,0.02,0.01,0.01,144,20,,
28594,-9.99,0.13,0.14,0.02,0.01,0.01,126,13,,
28595,-9.98,0.16,0.16,0.02,0,0.01,145,20,,
28596,-10,0.13,0.19,0.02,0.01,0.01,120,12,,
28597,-9.96,0.13,0.17,0.02,0.01,0.01,142,19,,
28598,-9.98,0.14,0.17,0.01,0.01,0.01,119,12,,
28599,-9.98,0.13,0.19,0.02,0.01,0,139,20,,
28600,-9.99,0.15,0.16,0.02,0.01,0.01,125,12,,
28601,-9.97,0.14,0.29,0.02,0,0.01,137,20,,
28602,-9.99,0.12,0.15,0.02,0.01,0.01,117,15,,
28603,-9.95,0.15,0.15,0.02,0.01,0.01,141,21,,
28604,-9.96,0.13,0.11,0.02,0.01,0.01,125,10,,
28605,-9.96,0.13,0.13,0.02,0.01,0.01,145,22,,
28606,-9.99,0.12,0.15,0.02,0.01,0.01,119,13,,
28607,-9.99,0.13,0.16,0.02,0,0.01,144,22,,
28608,-9.95,0.15,0.15,0.02,0,0.01,121,13,,
28609,-9.98,0.16,0.12,0.02,0.01,0.01,138,21,,
28610,-9.97,0.16,0.18,0.01,0.01,0.01,121,11,,
28611,-9.98,0.13,0.14,0.02,0.01,0.01,144,22,,
28612,-9.98,0.13,0.19,0.02,0.01,0.01,121,12,,
28613,-9.98,0.13,0.12,0.02,0,0.01,143,22,,
28614,-9.99,0.13,0.13,0.01,0.01,0.01,125,10,,
28615,-9.96,0.16,0.15,0.02,0,0.01,146,23,,
28616,-9.99,0.13,0.15,0.02,0.01,0.01,119,12,,
28617,-9.96,0.13,0.12,0.02,0.01,0.01,139,22,,
28618,-9.98,0.16,0.16,0.02,0.01,0.01,119,10,,
28619,-9.95,0.14,0.09,0.02,0.01,0.01,139,22,,
28620,-9.99,0.14,0.15,0.02,0.01,0.01,127,12,,
28621,-9.98,0.15,0.12,0.02,0,0.01,145,23,,
28622,-10,0.13,0.14,0.01,0.01,0.01,123,11,,
28623,-9.98,0.13,0.14,0.02,0.01,0.01,138,23,,
28624,-9.96,0.13,0.01,0.02,0,0.01,122,11,,
28625,-9.98,0.12,0.12,0.02,0.01,0.01,139,24,,
28626,-9.96,0.13,0.16,0.02,0,0.01,126,11,,
28627,-9.98,0.15,0.01,0.02,0.01,0.01,145,25,,
28628,-9.97,0.14,0.16,0.01,0.01,0.01,119,11,,
28629,-9.96,0.14,0.16,0.02,0.01,0.01,141,26,,
28630,-9.99,0.14,0.2,0.02,0.01,0.01,125,11,,
28631,-9.99,0.12,0.18,0.02,0.01,0.01,146,22,,
28632,-9.98,0.15,0.16,0.02,0.01,0.01,116,11,,
28633,-10,0.15,0.15,0.02,0.01,0.01,143,25,,
28634,-9.99,0.11,0.11,0.02,0.01,0.01,125,8,,
28635,-9.97,0.14,0.14,0.02,0.01,0.01,144,24,,
28636,-9.98,0.29,0.16,0.02,0.01,0.01,116,10,,
28637,-10,0.13,0.15,0.02,0.01,0.01,145,24,,
28638,-9.99,0.14,0.15,0.02,0.01,0.01,125,11,,
28639,-9.98,0.1,0.19,0.02,0.01,0.01,138,24,,
28640,-9.97,0.13,0.15,0.02,0,0.01,124,10,,
28641,-9.96,0.13,0.14,0.02,0.01,0.01,139,24,,
28642,-9.82,0.14,0.17,0.01,0.01,0.01,126,10,,
28643,-9.98,0.14,0.17,0.02,0.01,0.01,145,25,,
28644,-10,0.13,0.17,0.01,0.01,0.01,118,9,,
28645,-9.98,0.13,0.16,0.02,0.01,0.01,142,24,,
28646,-9.98,0.14,0.17,0.02,0.01,0.01,127,8,,
28647,-9.96,0.13,0,0.02,0,0.01,144,23,,
28648,-9.98,0.13,0.15,0.02,0.01,0.01,118,9,,
28649,-9.98,0.15,0.16,0.02,0.01,0.01,144,23,,
28650,-9.98,0.16,0.16,0.02,0.01,0.01,119,9,,
28651,-9.99,0.14,0.16,0.02,0.01,0.01,140,23,,
28652,-10,0.14,0.17,0.02,0.01,0.01,125,10,,
28653,-9.96,0.14,0.15,0.02,0.01,0.01,135,23,,
28654,-9.98,0.12,0.16,0.01,0.01,0.01,126,9,,
28655,-9.98,0.15,0.16,0.02,0.01,0.01,138,24,,
28656,-9.97,0.16,0.19,0.02,0.01,0.01,118,8,,
28657,-9.97,0.15,0.16,0.01,0.01,0.01,144,22,,
28658,-9.98,0.15,0.16,0.02,0,0.01,124,8,,
28659,-9.99,0.14,0.21,0.02,0,0.01,142,23,,
28660,-9.99,0.13,0.16,0.02,0.01,0.01,125,8,,
28661,-9.95,0.13,0.17,0.02,0.01,0.01,142,22,,
